,TIL_INFILTRATION,T_EFFECTOR,ANGIOGENESIS,TGFB_RESISTANCE,MYELOID_INFLAMMATION,PROLIFERATION,IMMUNOPROTEASOME,EXHAUSTION,PDL1_EXPRESSION
GSM2420259,4.314821005904883,6.041235570930034,2.7171216219299907,3.7149921986736656,4.683559690658992,6.07921329644302,8.253434718165831,3.3677851067166134,4.260778431893426
GSM2420260,2.9523285047874923,4.833091976996832,2.9908651765858605,3.9977473769307714,4.424934876712898,6.598984313841133,7.170782207842852,2.6573658187898266,3.5397791916984938
GSM2420261,3.8118496987028974,6.380660072280506,3.183664800127064,3.5830646880816963,3.7560181739738536,5.45830254425168,8.903412026987729,2.873072653447708,4.021479727410452
GSM2420262,3.683844173307846,6.2726524007262325,2.5557500442525485,3.427144971046117,3.9530295056434,5.647994796928727,9.084425548301033,2.7245069660930135,3.993674361750585
GSM2420263,4.215999949220612,5.516420809081712,2.7594373290619516,3.4341090824692833,3.085959760148562,5.547624065103324,7.779103041553973,2.9738483367205206,3.2055489111730338
GSM2420264,3.560983722669703,5.434505420129377,3.940135095105726,3.915196651036819,4.425362168700432,5.318895411573762,7.942104571090558,2.7618840187787885,3.763411574470007
GSM2420265,0.3918540951334235,1.7399857947228308,2.5844495000691183,3.189914088358036,1.204514446437557,5.26984053695604,4.343898301956348,0.5234620110275309,0.32504095549520085
GSM2420266,4.609922375721953,7.070636153393824,3.3725287682946328,3.795985636526633,3.633361984546462,5.121488139670592,8.775272968980047,3.6829638883906757,4.16430358309365
GSM2420267,4.0401708195352,5.8566724252074485,3.2722852637004323,3.539272269759657,3.947677971586315,5.425696772531922,8.572144465042017,3.0358466994968465,3.791814071161826
GSM2420268,2.627484844957879,4.759629727143279,2.7104391775305388,3.3760476818763303,2.568114238067317,5.1679320171897585,7.864895769623478,2.0353311672089625,2.6283070055983253
GSM2420269,3.9163753247639477,5.914266756463604,2.8696791855132466,3.475122563759208,2.768649271794674,4.672530951039228,8.952493370234798,2.985958415285401,3.711494906650088
GSM2420270,4.161344961651256,6.5164747462114425,4.041406599946995,3.8651465985461,3.2081793876838143,3.4357403045624046,8.859404788503227,3.038528487087908,3.441749047009237
GSM2420271,5.928656664569295,7.725647832742152,3.3414996720803365,3.6386289219174643,3.7150101091992225,4.38399951263209,9.996112982205595,4.88484601027913,4.38404980679516
GSM2420272,1.7352617190290924,3.7085748622525436,3.8156072877372296,4.122087675692783,3.263255721061702,5.156052045699792,8.31096512683872,1.3666838251711102,2.2687338010779023
GSM2420273,1.343084215754937,2.97698882053251,3.0861327135721464,3.9316695820767933,6.30169535514853,4.813439614098356,7.864253887816842,1.0433440555071323,4.684257705058932
GSM2420274,5.387494514548104,6.74672108183483,3.3186813999215308,3.635205561528683,3.6547951425626826,4.930034907714043,9.595717488503935,4.4504083757943835,3.3311319222172022
GSM2420275,0.6022097904226681,2.844624501229504,2.482485149425734,4.028200505952018,2.7455308363558095,4.729406836817236,7.653112170131376,0.9834107546569482,0.5687131490760814
GSM2420276,1.6192450629115918,3.1419172825326753,2.765036447760467,4.118307135127141,2.5198477497591725,4.7929901028365585,7.820713485343442,1.2451636344657147,0.8673429953597619
GSM2420277,2.12746324094613,4.014577459699429,3.9055687658914926,4.135330537642571,4.476999281338175,4.828622348327126,7.983203692670762,1.612044066097629,1.531069492725954
GSM2420278,3.3018520102344047,5.7023616374831,3.85611959619502,4.185035676030737,4.1852050643846646,5.41305811151301,8.836138051232966,2.4306312858868697,2.9143731719397246
GSM2420279,1.798291268567951,3.758955145713815,3.022977492983639,3.54026592061605,2.134651202492071,6.139961495349379,6.432567281837731,1.8238934654402597,1.7022142510104408
GSM2420280,5.759896420679298,6.519963584069083,2.9397990282016537,3.848849887670101,4.128690798019164,5.105707527578285,9.26302612538303,4.503035623749401,4.045268215138533
GSM2420281,5.780135465549571,6.7032764208507345,3.6822626453788594,4.179877712180941,3.68545722127529,5.185880556338708,9.217088105929475,4.674056292922682,4.4329594072761065
GSM2420282,2.899699752573744,5.144475827465606,3.6315508887225576,4.444236881399808,4.075830758668032,4.744186810963391,8.52562868516001,2.4638491908672595,3.380036744288536
GSM2420283,2.8470028582348337,5.212118244248392,3.4114567606257604,4.236677070518985,3.888780029097517,4.789134535859741,8.545164003555183,2.5966502889486502,3.3732305835879934
GSM2420284,2.715119638436365,4.778643285453675,4.020793248034553,4.3086124727771224,3.4974150891424194,4.9421800412810475,7.982160664633377,2.331619190372012,2.833497336859835
GSM2420285,2.503790824540095,4.3917836831606705,3.82382697021981,4.143668913314277,3.341080518781683,4.364148051642149,7.630761126097209,2.0176240611516465,2.3322782830569295
GSM2420286,2.0060768943004197,2.821139263556941,2.0911905978597742,2.565402991262005,1.1210086315206493,3.018970197025382,6.714228612290997,1.091431069085417,0.8415706373955171
GSM2420287,1.7849822716548058,2.606105377269657,1.9232339773005407,2.291571094480026,0.7656905406984881,2.197301993265067,6.195598201862779,0.7915767179217552,0.7728146874991937
GSM2420288,2.9210725818737844,4.752598842657369,2.788591736839878,2.998684009185207,3.279302569740707,4.85570400824753,7.228508435946048,2.498129638380118,2.0809986856942633
GSM2420289,2.802330194166652,3.3073134136209816,3.376053692383893,3.3360959517701096,3.448309832787067,5.441403853742494,6.699547287797105,2.278284092230842,1.2209490044667792
GSM2420290,4.879019582519055,6.916568039502252,2.4576377700306176,3.443905549498909,2.771193997133015,4.27171242829908,9.238878549360813,3.8478477294039175,5.2238086586060195
GSM2420291,2.9330937390472602,4.1821896436659065,2.8966855713038293,3.9892946887081733,3.1881283342027937,3.227184501964167,8.019657892312237,2.0920682642763913,1.996388746447621
GSM2420292,4.750080361032272,5.954155469028155,3.6960121727922766,3.6730456552239517,2.9323191090117344,4.734705078882374,8.58090598201192,3.6678786330105284,4.8529975876133165
GSM2420293,5.608686641221165,6.201534552932398,4.2318594188048895,4.339766164018481,3.301314909930077,4.251667930615215,8.871365393432388,4.423206508023087,3.6610654798069477
GSM2420294,2.841219062751587,5.4255735675555945,3.86719988694151,4.025176251395992,2.382285999801119,5.075660340228351,8.933033757129717,2.2950741529389926,2.4704067108193297
GSM2420295,2.38317763173264,4.948271628808581,3.27023417593329,3.932514009973167,1.8724450541715474,5.641315433515845,9.123303924653714,1.9697261018110834,2.0727918181067024
GSM2420296,0.3944639411904831,1.9522455925074247,2.6068803288814437,2.985817889955363,0.8306260539912272,4.817803338914571,5.056205723221061,0.6928658087109014,1.060047383669939
GSM2420297,0.43824489395411403,2.0724346579766446,2.5989436830424855,3.2266479962590466,1.0269232386411944,5.506376259575681,5.258662798332083,0.7030536072488247,0.9668733967599813
